Intercept,TU,TH,Age,TUAge,THAge
-5.442801927,-3.512344736,-3.940017769,0.100885061,-0.247396897,-0.118435767
-1.125172394,0.183734151,-1.035733438,0.21577169,-0.03029498,0.03702932
1.661087508,5.393318811,3.152807921,0.3763602,0.116991561,0.157146612
