Brood,Pi,Tank,Treatment,Date,Age,Behaviors,WeirdSwims,VidLength,NumFish,Grader,Notes
1,1,1,NaOH,6/29/2024,24,45,0,30,5,MW,DISTURBANCE IN VID
1,1,2,Thyroxine,6/29/2024,24,25,0,30,5,MW,DISTURBANCE IN VID
1,2,3,NaOH,6/29/2024,24,84,1,30,5,MW,DISTURBANCE IN VID
1,2,4,Thiourea,6/29/2024,24,89,0,30,5,MW,DISTURBANCE IN VID
1,3,5,Thyroxine,6/29/2024,24,,,,,,NO VIDEO
1,3,6,Thiourea,6/29/2024,24,,,,,,NO VIDEO
1,4,7,Thyroxine,6/29/2024,24,38,0,30,5,MW,DISTURBANCE IN VID
1,4,8,Thiourea,6/29/2024,24,119,0,30,5,MW,DISTURBANCE IN VID
1,1,1,NaOH,7/2/2024,27,202,0,30,5,MW,
1,1,2,Thyroxine,7/2/2024,27,85,0,30,5,MW,
1,2,3,NaOH,7/2/2024,27,93,1,30,5,MW,
1,2,4,Thiourea,7/2/2024,27,171,0,30,5,MW,
1,3,5,Thyroxine,7/2/2024,27,334,0,30,5,MW,
1,3,6,Thiourea,7/2/2024,27,162,1,30,5,MW,
1,4,7,Thyroxine,7/2/2024,27,,,30,4,MW,Fish died
1,4,8,Thiourea,7/2/2024,27,198,0,30,5,MW,
1,1,1,NaOH,7/5/2024,30,263,0,30,5,MW,
1,1,2,Thyroxine,7/5/2024,30,101,3,30,5,MW,
1,2,3,NaOH,7/5/2024,30,344,0,30,5,MW,
1,2,4,Thiourea,7/5/2024,30,218,0,30,5,MW,
1,3,5,Thyroxine,7/5/2024,30,234,2,30,5,MW,
1,3,6,Thiourea,7/5/2024,30,148,0,30,5,MW,
1,4,7,Thyroxine,7/5/2024,30,,,30,4,MW,Fish died
1,4,8,Thiourea,7/5/2024,30,194,0,30,5,MW,
2,1,1,Thiourea,8/20/2024,15,5,7,30,5,MW,
2,1,2,NaOH,8/20/2024,15,0,3,30,5,MW,
2,2,3,Thyroxine,8/20/2024,15,0,13,30,5,MW,
2,2,4,NaOH,8/20/2024,15,17,7,30,5,MW,
2,3,5,Thyroxine,8/20/2024,15,4,1,30,5,MW,
2,3,6,Thiourea,8/20/2024,15,1,0,30,5,MW,
2,4,7,Thyroxine,8/20/2024,15,2,2,30,5,MW,
2,4,8,Thiourea,8/20/2024,15,5,0,30,5,MW,
2,1,1,Thiourea,8/22/2024,17,50,0,30,5,MW,
2,1,2,NaOH,8/22/2024,17,7,2,30,5,MW,
2,2,3,Thyroxine,8/22/2024,17,6,0,30,5,MW,
2,2,4,NaOH,8/22/2024,17,1,1,30,5,MW,
