Treatment,averageweight,weightsd,averagelength,lengthsd
L-Thyroxine,17.325,2.02875166871979,8.25,0.288675134594813
NaOH,14.87,1.04886181697644,8.6,0.394405318873308
Thiourea,13.7785714285714,1.31276488692822,8.78571428571429,0.323103086329432
