Intercept,Homo,,Age,HomoAge
-6.044031102,-0.684819963,,0.224930963,-0.175726095
-4.917156156,2.93952885,,0.282416681,-0.097308892
-3.978365267,5.019754046,,0.311300182,0.036175058
