Intercept,EE,KT,Age,EEAge,KTAge
-4.828737681,-2.035341905,-2.04888807,0.099559991,-0.235318067,-0.190972635
-0.327983667,1.151861693,0.266026666,0.166477088,-0.045619874,-0.001057039
1.287489617,5.733963436,4.885901743,0.338065241,0.076374184,0.094397651
