Experiment,Tank,Brood,Treatment,Date,Age at Collection,Age,Behaviors,Bites,Chases,Extended,Frontal,Lateral,VidLength,NumFish,Grader
5,2,,CNG D52I2/D52I2,9/20/2024,10,27,49,0,46,2,0,3,30,5,mw
5,2,,CNG D52I2/D52I2,9/23/2024,10,30,1,0,1,0,0,0,30,5,mw
5,4,,CNG D52I2/D52I2,9/8/2024,10,15,2,2,0,0,0,0,30,5,mw
5,4,,CNG D52I2/D52I2,9/10/2024,10,17,0,0,0,0,0,0,30,5,mw
5,4,,CNG D52I2/D52I2,9/13/2024,10,20,1,1,0,0,0,0,30,5,mw
5,4,,CNG D52I2/D52I2,9/15/2024,10,22,,,,,,,,,
5,4,,CNG D52I2/D52I2,9/17/2024,10,24,,,,,,,,,
5,4,,CNG D52I2/D52I2,9/20/2024,10,27,,,,,,,,,
5,4,,CNG D52I2/D52I2,9/23/2024,10,30,,,,,,,,,
5,6,,CNG D52I2/D52I2,9/8/2024,10,15,,,,,,,,,
5,6,,CNG D52I2/D52I2,9/10/2024,10,17,,,,,,,,4,
5,6,,CNG D52I2/D52I2,9/13/2024,10,20,1,0,1,0,0,0,30,5,mw
5,6,,CNG D52I2/D52I2,9/15/2024,10,22,2,0,2,0,0,0,30,5,mw
5,6,,CNG D52I2/D52I2,9/17/2024,10,24,4,0,4,0,0,0,30,5,mw
5,6,,CNG D52I2/D52I2,9/20/2024,10,27,58,0,58,0,0,0,30,5,mw
5,6,,CNG D52I2/D52I2,9/23/2024,10,30,23,0,23,0,0,0,30,5,mw
